기업명,기업코드
기업은행,A024110
카카오뱅크,A323410
카카오페이,A377300
NAVER,A035420
삼성카드,A029780
신한지주,A055550
신세계,A004170
제주은행,A006220
푸른저축은행,A007330
DB손해보험,A005830
롯데손해보험,A000400
한화손해보험,A000370
하나금융지주,A086790
우리금융지주,A316140
메리츠금융지주,A138040
DGB금융지주,A139130
BNK금융지주,A138930
KB금융,A105560
한국금융지주,A071050
JB금융지주,A175330
롯데지주,A004990
롯데정보통신,A286940
삼성SDI,A006400
SK증권,A001510
NH투자증권,A005940
삼성전자,A005930
sk하이닉스,A000660
현대차 ,A005380
기아,A000270
현대모비스,A012330
LG에너지솔루션,A373220
SK이노베이션,A096770
현대건설,A000720
셀트리온,A068270
유한양행,A000100
CJ제일제당,A097950
대한항공,A003490
GS리테일,A007070
LG이노텍,A011070
한국전력,A015760
농심,A004370
해태제과식품,A101530
SK텔레콤,A017670
KT&G,A033780
하이브,A352820
아진산업,A013310
LX세미콘,A108320
포스코퓨쳐엠,A003670
에스엘,A005850
LIG넥스원,A079550
한화에어로스페이스,A012450
롯데하이마트,A071840
아모레퍼시픽,A090430
현대글로비스,A086280
하이트진로,A000080
에코프로,A086520
삼천당제약,A000250
테스,A095610
SK바이오팜,A326030
인텍플러스,A064290
범한퓨얼셀,A382900
디와이피엔에프,A104460
신흥에스이씨,A243840
이오테크닉스,A039030
SKC,A011790
한국항공우주,A047810
한미글로벌,A053690
씨에스윈드,A112610
SK오션플랜트,A100090
HD한국조선해양,A009540
피엔티,A137400
삼성물산,A028260
해성디에스,A195870
비에이치,A090460
심텍,A222800
JYP Ent.,A035900
한화솔루션,A009830
HL만도,A204320
현대위아,A011210
두산퓨얼셀,A336260
일진하이솔루스,A271940
초록뱀미디어,A047820
나스미디어,A089600
나이스정보통신,A036800
덴티스,A261200
인크로스,A216050
더블유게임즈,A192080
대아티아이,A045390
디아이씨,A092200
인터로조,A119610
CJ CGV,A079160
SBS,A034120
동아쏘시오홀딩스,A000640
컬러레이,A900310
파라다이스,A034230
강원랜드,A035250
제주맥주,A276730
롯데칠성,A005300
신세계 I&C,A035510
케이엠더블유,A032500
LG전자,A066570
티에스이,A131290
에스티아이,A039440
제이티,A089790
프로텍,A053610
넷마블,A251270
SFA반도체,A036540
엑시콘,A092870
피에스케이홀딩스,A031980
넥센타이어,A002350
코미코,A183300
아프리카tv,A067160
코오롱글로벌,A003070
씨에스베어링,A297090
상아프론테크,A089980
OCI,A010060
효성첨단소재,A298050
효성티앤씨,A298020
삼성바이오로직스,A207940
코오롱인더,A120110
크래프톤,A259960
한국카본,A017960
현대미포조선,A010620
다우데이타,A032190
db하이텍,A000990
한미반도체,A042700
삼성엔지니어링,A028050
HD현대건설기계,A267270
덕산네오룩스,A213420
SK바이오사이언스,A302440
셀트리온제약,A068760
셀트리온헬스케어,A091990
동진쎄미켐,A005290
카카오,A035720
삼성전기,A009150
덕산하이메탈,A077360
유니테스트,A086390
유니셈,A036200
넥스틴,A348210
제우스,A079370
유진테크,A084370
한솔아이원스,A114810
티씨케이,A064760
하나머티리얼즈,A166090
에이프로,A262260
테크윙,A089030
원익머트리얼즈,A104830
엘오티베큠,A083310
원익홀딩스,A030530
원익QnC,A074600
GST,A083450
LB세미콘,A061970
두산테스나,A131970
솔브레인,A357780
원익IPS,A240810
어보브반도체,A102120
네패스,A033640
앨앤에프,A066970
SK아이이테크놀로지,A361610
켐트로스,A220260
코윈테크,A282880
하나기술,A299030
이녹스첨단소재,A272290
동화기업,A025900
LG화학,A051910
솔루스첨단소재,A336370
대덕전자,A353200
삼화콘덴서,A001820
알에프세미,A096610
코스모신소재,A005070
대주전자재료,A078600
코리아써키트,A007810
대우조선해양,A042660
대양전기공업,A108380
세진중공업,A075580
HMM,A011200
팬오션,A028670
한국철강,A104700
고려제강,A002240
세아베스틸지주,A001430
동국제강,A001230
현대제철,A004020
POSCO홀딩스,A005490
삼목에스폼,A018310
아세아시멘트,A183190
SGC이테크건설,A016250
HDC현대산업개발,A294870
자이에스앤디,A317400
현대엘리베이,A017800
제일전기공업,A199820
이건산업,A008250
계룡건설,A013580
인선이엔티,A060150
DL건설,A001880
한신공영,A004960
한샘,A009240
GS건설,A006360
동아화성,A041930
화신,A010690
세방전지,A004490
삼기,A122350
HL홀딩스,A060980
피에이치에이,A043370
삼영전자,A005680
롯데에너지머티리얼즈,A020150
엠씨넥스,A097520
명신산업,A009900
포스코DX,A022100
한온시스템,A018880
현대오토에버,A307950
아시아나항공,A020560
레드캡투어,A038390
제주항공,A089590
진에어,A272450
한화시스템,A272210
아스트,A067390
켄코아에어로스페이스,A274090
쎄트렉아이,A099320
인텔리안테크,A189300
제노코,A361390
효성,A004800
CJ,A001040
한화,A000880
LG,A003550
SK,A034730
서부T&D,A006730
참좋은여행,A094850
노랑풍선,A104620
하나투어,A039130
GKL,A114090
애경산업,A018250
현대백화점,A069960
잉글우드랩,A950140
호전실업,A111110
빙그레,A005180
풀무원,A017810
아모레G,A002790
화승엔터프라이즈,A241590
한세실업,A105630
더네이쳐홀딩스,A298540
CJ프레시웨이,A051500
동원F&B,A049770
제이에스코퍼레이션,A194370
에스제이그룹,A306040
영원무역,A111770
휠라홀딩스,A081660
F&F홀딩스,A007700
노바렉스,A194700
콜마비앤에이치,A200130
롯데웰푸드,A280360
오리온,A271560
신세계푸드,A031440
대상,A001680
오뚜기,A007310
LG생활건강,A051900
신세계인터내셔날,A031430
클리오,A237880
제일기획,A030000
이노션,A214320
BGF리테일,A282330
코스맥스,A192820
호텔신라,A008770
연우,A115960
티앤엘,A340570
클래시스,A214150
제노레이,A122310
에스앤에스텍,A101490
한솔제지,A213500
웹젠,A069080
송원산업,A004430
엔비티,A236810
롯데케미칼,A011170
솔루엠,A248070
더존비즈온,A012510
덴티움,A145720
컴투스,A078340
스튜디오드래곤,A253450
제이시스메디칼,A287410
오스템임플란트,A048260
CJ ENM,A035760
쿠콘,A294570
코웨이,A021240
NHN,A181710
휴비츠,A065510
바텍,A043150
레이언스,A228850
SK네트웍스,A001740
자이언트스텝,A289220
금호석유,A011780
삼양패키징,A272550
정상제이엘에스,A040420
와이더플래닛,A321820
쿠쿠홈시스,A284740
환인제약,A016580
KG모빌리언스,A046440
그린플러스,A186230
SNT모티브,A064960
파마리서치,A214450
무림P&P,A009580
롯데정밀화학,A004000
KCC,A002380
